type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
-,0.0,0.0,0.0,0,"[('symbol', 1), ('name', 1)]",[]
1,0.0,0.0,0.0,0,"[('name', 19), ('description', 10), ('company', 9), ('artist', 4), ('team', 3)]",[]
29,0.0,0.0,0.0,0,"[('weight', 1)]",[]
30,0.0,0.0,0.0,0,"[('age', 1)]",[]
32,0.0,0.0,0.0,0,"[('age', 1)]",[]
33,0.0,0.0,0.0,0,"[('weight', 1)]",[]
335,0.0,0.0,0.0,0,"[('region', 1)]",[]
37,0.0,0.0,0.0,0,"[('age', 1)]",[]
4,0.0,0.0,0.0,0,"[('type', 1)]",[]
40,0.0,0.0,0.0,0,"[('age', 1)]",[]
612m,0.0,0.0,0.0,0,"[('age', 1)]",[]
__utma,0.0,0.0,0.0,0,"[('name', 1)]",[]
action,0.0,0.0,0.0,0,"[('description', 1)]",[]
address,1.0,0.2857142857142857,0.4444444444444445,7,[],"[('location', 4), ('1', 1)]"
administrator,0.0,0.0,0.0,0,"[('name', 1)]",[]
aerosols,0.0,0.0,0.0,0,"[('category', 1), ('name', 1)]",[]
age,0.4222222222222222,0.7916666666666666,0.5507246376811594,48,"[('rank', 34), ('position', 8), ('code', 2), ('plays', 1), ('result', 1)]","[('weight', 4), ('37', 1), ('1', 1), ('32', 1), ('30', 1)]"
agent,0.0,0.0,0.0,0,"[('notes', 1)]",[]
agonistBindingBySimilarity,0.0,0.0,0.0,0,"[('description', 1)]",[]
album,0.0,0.0,0.0,9,[],"[('1', 3), ('artist', 3), ('songTitle', 1), ('organisation', 1), ('title', 1)]"
area,0.0,0.0,0.0,3,[],"[('weight', 1), ('assistance', 1), ('location', 1)]"
artist,0.5555555555555556,0.3125,0.39999999999999997,16,"[('album', 3), ('name', 1)]","[('1', 4), ('name', 2), ('band', 2), ('description', 1), ('madrid', 1)]"
as,0.0,0.0,0.0,0,"[('code', 2)]",[]
assistance,0.0,0.0,0.0,0,"[('area', 1)]",[]
available,0.0,0.0,0.0,0,"[('status', 2)]",[]
band,0.0,0.0,0.0,0,"[('artist', 2)]",[]
boland,0.0,0.0,0.0,0,"[('name', 1)]",[]
bournemouth,0.0,0.0,0.0,0,"[('team', 1)]",[]
brand,0.0,0.0,0.0,1,[],"[('mpn', 1)]"
broncos,0.0,0.0,0.0,0,"[('team', 1)]",[]
c,0.0,0.0,0.0,0,"[('category', 1)]",[]
canada,0.0,0.0,0.0,0,"[('team', 1)]",[]
capacity,0.0,0.0,0.0,2,"[('description', 1)]","[('weight', 2)]"
category,0.0,0.0,0.0,24,"[('type', 1), ('gender', 1), ('description', 1)]","[('type', 4), ('location', 3), ('gases', 2), ('played', 1), ('c', 1)]"
characteristics,0.0,0.0,0.0,0,"[('team', 1)]",[]
city,1.0,0.08163265306122448,0.15094339622641506,49,[],"[('location', 39), ('guess', 1), ('1', 1), ('state', 1), ('online', 1)]"
class,0.0,0.0,0.0,8,[],"[('type', 6), ('grade', 1), ('1', 1)]"
closed,0.0,0.0,0.0,0,"[('status', 1)]",[]
club,0.0,0.0,0.0,11,"[('team', 1)]","[('location', 3), ('1', 2), ('team', 2), ('name', 2), ('dcm', 1)]"
code,0.3333333333333333,0.07142857142857142,0.11764705882352941,14,"[('weight', 2)]","[('fpay', 3), ('as', 2), ('age', 2), ('fp', 1), ('numbers', 1)]"
column,0.0,0.0,0.0,0,"[('type', 1)]",[]
command,0.0,0.0,0.0,1,"[('description', 1)]","[('map', 1)]"
commercials,0.0,0.0,0.0,0,"[('type', 1)]",[]
company,1.0,0.375,0.5454545454545454,16,[],"[('1', 9), ('location', 1)]"
composition,0.0,0.0,0.0,0,"[('name', 1)]",[]
condition,0.0,0.0,0.0,0,"[('description', 1)]",[]
conjugated,0.0,0.0,0.0,0,"[('description', 1)]",[]
context,0.0,0.0,0.0,0,"[('jockey', 1)]",[]
continent,0.0,0.0,0.0,0,"[('region', 1)]",[]
core,0.0,0.0,0.0,0,"[('category', 1)]",[]
country,0.5,0.7777777777777778,0.6086956521739131,9,"[('team', 4), ('location', 1), ('result', 1), ('origin', 1)]","[('eri', 1), ('team', 1)]"
county,0.0,0.0,0.0,4,[],"[('name', 2), ('location', 1), ('table', 1)]"
date,0.0,0.0,0.0,0,"[('status', 1), ('year', 1), ('description', 1)]",[]
day,0.75,0.5,0.6,6,"[('team', 1)]","[('event', 1), ('monday', 1), ('age', 1)]"
dcm,0.0,0.0,0.0,0,"[('club', 1)]",[]
denomination,0.0,0.0,0.0,0,"[('family', 2)]",[]
depth,0.0,0.0,0.0,1,[],"[('height', 1)]"
description,0.375,0.05084745762711865,0.08955223880597016,59,"[('artist', 1), ('notes', 1), ('category', 1), ('name', 1), ('origin', 1)]","[('1', 10), ('type', 8), ('year', 3), ('payment', 2), ('product', 2)]"
dilution,0.0,0.0,0.0,0,"[('notes', 1)]",[]
distance,0.0,0.0,0.0,0,"[('city', 1)]",[]
dome,0.0,0.0,0.0,0,"[('location', 1)]",[]
duration,0.0,0.0,0.0,3,[],"[('time', 3)]"
effectiveDate,0.0,0.0,0.0,0,"[('description', 1)]",[]
elevation,0.0,0.0,0.0,1,[],"[('weight', 1)]"
eri,0.0,0.0,0.0,0,"[('country', 1)]",[]
escape,0.0,0.0,0.0,0,"[('description', 1)]",[]
event,0.0,0.0,0.0,0,"[('day', 1), ('name', 1)]",[]
expression,0.0,0.0,0.0,0,"[('type', 1)]",[]
family,0.0,0.0,0.0,2,[],"[('denomination', 2)]"
fb,0.0,0.0,0.0,0,"[('code', 1)]",[]
fellowship,0.0,0.0,0.0,0,"[('type', 1)]",[]
fiction,0.0,0.0,0.0,0,"[('location', 1)]",[]
fileSize,0.0,0.0,0.0,1,"[('name', 1), ('format', 1)]","[('age', 1)]"
forestry,0.0,0.0,0.0,0,"[('description', 1)]",[]
format,1.0,0.5,0.6666666666666666,2,[],"[('fileSize', 1)]"
fp,0.0,0.0,0.0,0,"[('code', 1)]",[]
fpay,0.0,0.0,0.0,0,"[('code', 3)]",[]
g,0.0,0.0,0.0,0,"[('name', 1)]",[]
gases,0.0,0.0,0.0,0,"[('category', 2)]",[]
gender,0.0,0.0,0.0,2,[],"[('category', 1), ('team', 1)]"
genre,0.0,0.0,0.0,1,[],"[('music', 1)]"
grade,0.0,0.0,0.0,0,"[('rank', 3), ('team', 1), ('class', 1)]",[]
guess,0.0,0.0,0.0,0,"[('city', 1)]",[]
height,0.0,0.0,0.0,0,"[('depth', 1)]",[]
home,0.0,0.0,0.0,0,"[('location', 1)]",[]
house,0.0,0.0,0.0,0,"[('status', 1)]",[]
humbarger,0.0,0.0,0.0,0,"[('name', 1)]",[]
industry,0.0,0.0,0.0,1,[],"[('1', 1)]"
insitu,0.0,0.0,0.0,0,"[('type', 1)]",[]
inspection,0.0,0.0,0.0,0,"[('type', 1)]",[]
