type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
???,0.0,0.0,0.0,0.0,"[('description', 2), ('type', 1)]",[]
address,0.6,1.0,0.75,3.0,"[('type', 1), ('location', 1)]",[]
age,0.7142857142857143,0.6896551724137931,0.7017543859649122,29.0,"[('rank', 5), ('result', 1), ('grades', 1), ('capacity', 1)]","[('weight', 9)]"
area,0.0,0.0,0.0,6.0,[],"[('location', 3), ('weight', 1), ('code', 1), ('route', 1)]"
artist,1.0,0.5,0.6666666666666666,6.0,[],"[('name', 2), ('band', 1)]"
band,0.0,0.0,0.0,0.0,"[('artist', 1)]",[]
brand,0.0,0.0,0.0,1.0,"[('description', 1)]","[('code', 1)]"
capacity,0.0,0.0,0.0,3.0,[],"[('weight', 2), ('age', 1)]"
category,0.391304347826087,0.47368421052631576,0.42857142857142855,19.0,"[('type', 5), ('description', 2), ('service', 2), ('industry', 2), ('team', 1)]","[('name', 5), ('description', 2), ('education', 1), ('genre', 1), ('weight', 1)]"
city,0.07142857142857142,0.1,0.08333333333333333,10.0,"[('location', 5), ('name', 4), ('team', 3), ('state', 1)]","[('location', 7), ('province', 1), ('state', 1)]"
class,1.0,0.4,0.5714285714285714,5.0,[],"[('command', 2), ('rank', 1)]"
classification,0.0,0.0,0.0,1.0,[],"[('status', 1)]"
club,0.0,0.0,0.0,3.0,[],"[('team', 3)]"
code,0.21428571428571427,0.75,0.3333333333333333,4.0,"[('rank', 4), ('type', 3), ('brand', 1), ('area', 1), ('county', 1)]","[('company', 1)]"
command,0.0,0.0,0.0,0.0,"[('class', 2)]",[]
commercials,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
company,0.5,0.75,0.6,4.0,"[('name', 2), ('code', 1)]","[('organisation', 1)]"
component,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
country,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0,"[('team', 3), ('type', 2), ('origin', 1)]","[('state', 1)]"
county,1.0,0.75,0.8571428571428571,4.0,[],"[('code', 1)]"
credit,0.0,0.0,0.0,1.0,[],"[('show', 1)]"
date,0.0,0.0,0.0,0.0,"[('name', 1)]",[]
day,0.8,0.6666666666666666,0.7272727272727273,6.0,"[('order', 1)]","[('rank', 1), ('sun', 1)]"
denomination,0.0,0.0,0.0,0.0,"[('family', 1)]",[]
depth,0.0,0.0,0.0,2.0,[],"[('weight', 2)]"
description,0.72,0.6206896551724138,0.6666666666666666,58.0,"[('notes', 5), ('name', 2), ('category', 2), ('location', 2), ('team', 1)]","[('product', 3), ('status', 3), ('???', 2), ('category', 2), ('teamName', 2)]"
directory,0.0,0.0,0.0,0.0,"[('name', 1)]",[]
docketNo,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
document,0.0,0.0,0.0,0.0,"[('type', 5)]",[]
documentNumber,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
duration,1.0,0.6666666666666666,0.8,3.0,[],"[('result', 1)]"
education,0.0,0.0,0.0,0.0,"[('category', 1)]",[]
family,0.0,0.0,0.0,2.0,[],"[('religion', 1), ('denomination', 1)]"
fileSize,0.0,0.0,0.0,1.0,"[('format', 1)]","[('weight', 1)]"
filename,0.0,0.0,0.0,0.0,"[('name', 1)]",[]
filesize,0.0,0.0,0.0,0.0,"[('format', 1)]",[]
format,0.0,0.0,0.0,2.0,[],"[('fileSize', 1), ('filesize', 1)]"
genre,0.0,0.0,0.0,0.0,"[('location', 1), ('category', 1)]",[]
grades,0.0,0.0,0.0,1.0,[],"[('age', 1)]"
imports,0.0,0.0,0.0,0.0,"[('origin', 1)]",[]
industry,0.0,0.0,0.0,2.0,[],"[('category', 2)]"
jockey,1.0,0.4,0.5714285714285714,5.0,[],"[('name', 3)]"
language,1.0,0.5,0.6666666666666666,2.0,[],"[('origin', 1)]"
location,0.5714285714285714,0.7058823529411765,0.631578947368421,34.0,"[('city', 7), ('name', 3), ('team', 3), ('area', 3), ('type', 1)]","[('city', 5), ('description', 2), ('genre', 1), ('address', 1), ('name', 1)]"
message,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
module,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
name,0.7796610169491526,0.6388888888888888,0.7022900763358778,72.0,"[('category', 5), ('jockey', 3), ('artist', 2), ('team', 1), ('description', 1)]","[('city', 4), ('location', 3), ('description', 2), ('company', 2), ('product', 2)]"
notes,0.5714285714285714,0.4444444444444444,0.5,9.0,"[('description', 1), ('name', 1), ('status', 1)]","[('description', 5)]"
order,0.0,0.0,0.0,1.0,[],"[('day', 1)]"
organisation,0.0,0.0,0.0,0.0,"[('company', 1), ('name', 1)]",[]
origin,0.0,0.0,0.0,2.0,"[('language', 1)]","[('country', 1), ('imports', 1)]"
page,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
path,0.0,0.0,0.0,0.0,"[('name', 1)]",[]
percentage,0.0,0.0,0.0,0.0,"[('weight', 1)]",[]
person,0.0,0.0,0.0,1.0,[],"[('rank', 1)]"
plays,0.0,0.0,0.0,2.0,[],"[('rank', 2)]"
population,0.0,0.0,0.0,0.0,"[('rank', 1)]",[]
position,0.75,0.42857142857142855,0.5454545454545454,7.0,"[('status', 1)]","[('rank', 4)]"
poster,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
product,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0,"[('description', 3), ('name', 2)]","[('protein', 1), ('category', 1)]"
protein,0.0,0.0,0.0,0.0,"[('product', 1)]",[]
province,0.0,0.0,0.0,0.0,"[('city', 1)]",[]
queue,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
rank,0.5925925925925926,0.6153846153846154,0.6037735849056604,26.0,"[('position', 4), ('region', 2), ('plays', 2), ('class', 1), ('person', 1)]","[('age', 5), ('code', 4), ('population', 1)]"
ref,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
region,0.0,0.0,0.0,2.0,[],"[('rank', 2)]"
religion,0.0,0.0,0.0,0.0,"[('family', 1)]",[]
reportNo,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
resetAttempts,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
result,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0,"[('status', 1), ('duration', 1)]","[('age', 1), ('status', 1)]"
review,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
route,0.0,0.0,0.0,0.0,"[('area', 1)]",[]
service,1.0,0.3333333333333333,0.5,3.0,[],"[('category', 2)]"
session,0.0,0.0,0.0,0.0,"[('name', 1)]",[]
sex,1.0,1.0,1.0,1.0,[],[]
show,0.0,0.0,0.0,0.0,"[('credit', 1)]",[]
state,0.25,0.5,0.3333333333333333,2.0,"[('team', 1), ('country', 1), ('city', 1)]","[('city', 1)]"
status,0.6470588235294118,0.7333333333333333,0.6875,15.0,"[('description', 3), ('result', 1), ('classification', 1), ('type', 1)]","[('position', 1), ('result', 1), ('location', 1), ('notes', 1)]"
sun,0.0,0.0,0.0,0.0,"[('day', 1)]",[]
symbol,1.0,0.5,0.6666666666666666,2.0,[],"[('description', 1)]"
table,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
team,0.8571428571428571,0.44776119402985076,0.5882352941176471,67.0,"[('club', 3), ('name', 2)]","[('teamName', 22), ('city', 3), ('location', 3), ('country', 3), ('state', 1)]"
teamName,0.0,0.0,0.0,0.0,"[('team', 22), ('description', 2), ('name', 1)]",[]
title,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
type,0.75,0.09375,0.16666666666666666,32.0,"[('description', 1)]","[('category', 5), ('document', 5), ('code', 3), ('country', 2), ('poster', 1)]"
university,0.0,0.0,0.0,0.0,"[('team', 1)]",[]
