type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
activity,0.0,0.0,0.0,0.0,"[('description', 1), ('type', 1)]",[]
address,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0,"[('city', 2), ('elevation', 1)]","[('description', 1), ('location', 1), ('elevation', 1)]"
affiliation,0.0,0.0,0.0,2.0,[],"[('organisation', 1), ('team', 1)]"
age,0.8481012658227848,0.8170731707317073,0.8322981366459627,82.0,"[('weight', 9), ('rank', 3)]","[('weight', 11), ('rank', 2), ('duration', 1), ('location', 1)]"
agency,0.0,0.0,0.0,0.0,"[('name', 1)]",[]
aircraft,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
album,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0,"[('artist', 2), ('name', 1)]","[('team', 1)]"
artist,0.7741935483870968,0.8275862068965517,0.8,29.0,"[('name', 6), ('type', 1)]","[('name', 3), ('album', 2)]"
birthDate,0.0,0.0,0.0,0.0,"[('year', 2)]",[]
brand,0.0,0.0,0.0,0.0,"[('symbol', 2)]",[]
card,0.0,0.0,0.0,0.0,"[('notes', 1)]",[]
category,0.4,0.5,0.4444444444444444,24.0,"[('class', 4), ('status', 3), ('location', 3), ('type', 3), ('description', 2)]","[('name', 3), ('rank', 3), ('description', 1), ('status', 1), ('location', 1)]"
city,0.9493670886075949,0.8620689655172413,0.9036144578313253,87.0,"[('county', 2), ('team', 1), ('location', 1)]","[('location', 9), ('address', 2), ('team', 1)]"
class,0.2857142857142857,0.1111111111111111,0.16,18.0,"[('year', 4), ('description', 1)]","[('category', 4), ('position', 2), ('type', 2), ('status', 2), ('year', 1)]"
classification,0.0,0.0,0.0,0.0,"[('year', 1)]",[]
club,1.0,0.0967741935483871,0.17647058823529413,31.0,[],"[('team', 18), ('state', 7), ('location', 3)]"
code,0.7333333333333333,0.4230769230769231,0.5365853658536586,26.0,"[('symbol', 2), ('product', 1), ('class', 1)]","[('description', 11), ('team', 2), ('owner', 1), ('year', 1)]"
command,1.0,1.0,1.0,1.0,[],[]
company,0.6176470588235294,0.7777777777777778,0.6885245901639344,27.0,"[('name', 8), ('publisher', 2), ('manufacturer', 2), ('operator', 1)]","[('name', 6)]"
component,1.0,0.5,0.6666666666666666,2.0,[],"[('description', 1)]"
country,0.6896551724137931,0.9090909090909091,0.7843137254901961,22.0,"[('team', 4), ('rank', 2), ('region', 1), ('category', 1), ('type', 1)]","[('location', 1), ('rank', 1)]"
county,1.0,0.25,0.4,4.0,[],"[('city', 2), ('location', 1)]"
course,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
currency,1.0,1.0,1.0,1.0,[],[]
date,0.0,0.0,0.0,0.0,"[('year', 1)]",[]
day,1.0,0.8571428571428571,0.9230769230769231,7.0,[],"[('description', 1)]"
depth,0.0,0.0,0.0,1.0,[],"[('elevation', 1)]"
description,0.4880952380952381,0.5616438356164384,0.5222929936305732,73.0,"[('code', 11), ('type', 7), ('name', 7), ('location', 3), ('notes', 2)]","[('year', 8), ('name', 5), ('owner', 3), ('category', 2), ('notes', 2)]"
director,1.0,1.0,1.0,1.0,[],[]
district,0.0,0.0,0.0,0.0,"[('state', 1)]",[]
duration,0.8,0.8,0.8,5.0,"[('age', 1)]","[('type', 1)]"
effectiveDate,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
elevation,0.25,0.3333333333333333,0.2857142857142857,3.0,"[('type', 1), ('depth', 1), ('address', 1)]","[('location', 1), ('address', 1)]"
event,0.0,0.0,0.0,0.0,"[('name', 1)]",[]
expression,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
file,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
form,0.0,0.0,0.0,0.0,"[('type', 1)]",[]
format,1.0,1.0,1.0,4.0,[],[]
fpay,0.0,0.0,0.0,0.0,"[('description', 1)]",[]
gender,0.46153846153846156,1.0,0.631578947368421,6.0,"[('sex', 7)]",[]
